2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:28.863 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
